CNPJ BÁSICO,Nome Municip.,Nome Cnae,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,CAPITAL SOCIAL,PORTE DA EMPRESA,result
19843094,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91306840.0,,,"3000,00",1.0,
19964305,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32375137,,,"2000,00",1.0,
20212330,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,21010675,,,"110000,00",3.0,
20212330,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,21010675.0,,,"110000,00",3.0,
20752647,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,88275804,,,"2000,00",1.0,
20899482,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,99669972,,,"2000,00",1.0,
20948602,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88021692,,,"5000,00",1.0,
21254243,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88150092.0,,,"3000,00",1.0,
21360483,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,99408785.0,,,"1136000,00",5.0,
21537035,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32269104,,,"3000,00",1.0,
21583491,JUIZ DE FORA,OBRAS DE ALVENARIA,21.0,65606992,,,"5000,00",1.0,
21637851,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88047893,,,"2500,00",1.0,
22012469,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88679838.0,,,"1000,00",1.0,
22060018,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88727025.0,,,"250,00",1.0,
22276423,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84320139.0,,,"5000,00",1.0,
22359062,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88083764.0,,,"1000,00",1.0,
22759456,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32311614.0,,,"1000,00",1.0,
22987832,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,99720993.0,,,"15000,00",3.0,
23126373,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,30823997,,,"5000,00",1.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000,,,"87206313,34",5.0,
